"year_month","reservations"
"2020-01","1"
"2020-02","3"
"2020-03","2"
"2020-04","3"
"2020-05","2"
"2020-06","3"
"2020-07","2"
"2020-08","3"
"2020-09","2"
"2020-10","2"
"2020-11","1"
"2020-12","6"
"2021-01","8"
"2021-02","5"
"2021-03","3"
"2021-04","5"
"2021-05","4"
"2021-06","2"
"2021-07","4"
"2021-08","3"
"2021-09","3"
"2021-10","4"
"2021-11","2"
"2021-12","5"
"2022-01","4"
"2022-02","2"
"2022-03","3"
"2022-04","2"
"2022-05","2"
"2022-06","1"
"2022-07","3"
"2022-08","3"
"2022-09","1"
"2022-10","8"
"2022-11","8"
"2023-01","4"
