"year_month","total_revenue"
"2020-01","2595.00"
"2020-02","14321.00"
"2020-03","4899.00"
"2020-04","13247.00"
"2020-05","3426.00"
"2020-06","11175.00"
"2020-07","3430.00"
"2020-08","13009.00"
"2020-09","5462.00"
"2020-10","11892.00"
"2020-11","4039.00"
"2020-12","18606.00"
"2021-01","18460.00"
"2021-02","13217.00"
"2021-03","15961.00"
"2021-04","25173.00"
"2021-05","15547.00"
"2021-06","8679.00"
"2021-07","7467.00"
"2021-08","6541.00"
"2021-09","9962.00"
"2021-10","16721.00"
"2021-11","4143.00"
"2021-12","12045.00"
"2022-01","17524.00"
"2022-02","5106.00"
"2022-03","4958.00"
"2022-04","8813.00"
"2022-05","3860.00"
"2022-06","1052.00"
"2022-07","11675.00"
"2022-08","3573.00"
"2022-09","952.00"
"2022-10","31534.00"
"2022-11","27444.00"
"2023-01","18820.00"
