"Destination","total_revenue"
"Paris","45642.00"
"Sevilla","30173.00"
"Cracovia","22713.00"
"Lublin","22504.00"
"Santiago de Compostela","22186.00"
"Lubliana","21639.00"
"Glasgow","20809.00"
"Copenague","20750.00"
"Oporto","19697.00"
"Zagreb","19061.00"
"Bratislava","17940.00"
"Lyon","17854.00"
"Oslo","14910.00"
"Sofia","14471.00"
"Varsovia","13151.00"
"Bristol","11780.00"
"Lisboa","11256.00"
"Londres","9735.00"
"Moscu","9709.00"
"Barcelona","8060.00"
"Malta","7383.00"
"Edimburgo","4225.00"
"Praga","4039.00"
"Budapest","3301.00"
"Dublin","2340.00"
